case_id,impl,batch_id,sample_index,time_s
usgs_earthquakes,rust,4,13,0.000012303
usgs_earthquakes,rust,4,14,0.000012303
usgs_earthquakes,rust,4,15,0.000011972
usgs_earthquakes,rust,4,16,0.000012042
usgs_earthquakes,rust,4,17,0.000011953
usgs_earthquakes,rust,4,18,0.000012172
usgs_earthquakes,rust,4,19,0.000012383
usgs_earthquakes,rust,4,20,0.000012002
usgs_earthquakes,rust,4,21,0.000011962
usgs_earthquakes,rust,4,22,0.000011943
usgs_earthquakes,rust,4,23,0.000012142
usgs_earthquakes,rust,4,24,0.000011862
usgs_earthquakes,rust,4,25,0.000011873
usgs_earthquakes,rust,4,26,0.000012393
usgs_earthquakes,rust,4,27,0.000012212
usgs_earthquakes,rust,4,28,0.000012233
usgs_earthquakes,rust,4,29,0.000012152
usgs_earthquakes,rust,4,30,0.000011942
usgs_earthquakes,rust,4,31,0.000012002
usgs_earthquakes,rust,4,32,0.000012033
usgs_earthquakes,rust,4,33,0.000012053
usgs_earthquakes,rust,4,34,0.000012143
usgs_earthquakes,rust,4,35,0.000011842
usgs_earthquakes,rust,4,36,0.000012213
usgs_earthquakes,rust,4,37,0.000011902
usgs_earthquakes,rust,4,38,0.000012122
usgs_earthquakes,rust,4,39,0.000011942
usgs_earthquakes,rust,4,40,0.000011972
usgs_earthquakes,cpp,4,0,0.000017543
usgs_earthquakes,cpp,4,1,0.000017322
usgs_earthquakes,cpp,4,2,0.000017282
usgs_earthquakes,cpp,4,3,0.000017393
usgs_earthquakes,cpp,4,4,0.000017402
usgs_earthquakes,cpp,4,5,0.000017262
usgs_earthquakes,cpp,4,6,0.000017312
usgs_earthquakes,cpp,4,7,0.000017423
usgs_earthquakes,cpp,4,8,0.000017282
usgs_earthquakes,cpp,4,9,0.000017302
usgs_earthquakes,cpp,4,10,0.000017292
usgs_earthquakes,cpp,4,11,0.000017372
usgs_earthquakes,cpp,4,12,0.000017332
usgs_earthquakes,cpp,4,13,0.000017293
usgs_earthquakes,cpp,4,14,0.000017392
usgs_earthquakes,cpp,4,15,0.000017312
usgs_earthquakes,cpp,4,16,0.000017282
usgs_earthquakes,cpp,4,17,0.000017392
usgs_earthquakes,cpp,4,18,0.000017212
usgs_earthquakes,cpp,4,19,0.000017322
usgs_earthquakes,cpp,4,20,0.000017262
usgs_earthquakes,cpp,4,21,0.000017402
usgs_earthquakes,cpp,4,22,0.000017272
usgs_earthquakes,cpp,4,23,0.000017263
usgs_earthquakes,cpp,4,24,0.000017352
usgs_earthquakes,cpp,4,25,0.000017282
usgs_earthquakes,cpp,4,26,0.000017343
usgs_earthquakes,cpp,4,27,0.000017332
usgs_earthquakes,cpp,4,28,0.000017342
usgs_earthquakes,cpp,4,29,0.000017263
usgs_earthquakes,cpp,4,30,0.000017372
usgs_earthquakes,cpp,4,31,0.000017282
usgs_earthquakes,cpp,4,32,0.000017432
usgs_earthquakes,cpp,4,33,0.000017242
usgs_earthquakes,cpp,4,34,0.000017192
usgs_earthquakes,cpp,4,35,0.000017332
usgs_earthquakes,cpp,4,36,0.000017302
usgs_earthquakes,cpp,4,37,0.000017222
usgs_earthquakes,cpp,4,38,0.000017302
usgs_earthquakes,cpp,4,39,0.000017323
usgs_earthquakes,cpp,4,40,0.000017352
noaa_co2,rust,3,0,0.011647570
noaa_co2,rust,3,1,0.011541272
noaa_co2,rust,3,2,0.011541012
noaa_co2,rust,3,3,0.011525933
noaa_co2,rust,3,4,0.011566940
noaa_co2,rust,3,5,0.011530031
noaa_co2,rust,3,6,0.011538507
noaa_co2,rust,3,7,0.011525172
noaa_co2,rust,3,8,0.011539519
noaa_co2,rust,3,9,0.011548786
noaa_co2,rust,3,10,0.011542094
noaa_co2,rust,3,11,0.011536453
noaa_co2,rust,3,12,0.011542353
noaa_co2,rust,3,13,0.011525884
noaa_co2,rust,3,14,0.011538767
noaa_co2,rust,3,15,0.011536814
noaa_co2,rust,3,16,0.011534339
noaa_co2,rust,3,17,0.011536112
noaa_co2,rust,3,18,0.011579744
noaa_co2,rust,3,19,0.011544047
noaa_co2,rust,3,20,0.011535031
noaa_co2,rust,3,21,0.011556971
noaa_co2,rust,3,22,0.011537916
noaa_co2,rust,3,23,0.011588760
noaa_co2,rust,3,24,0.011536664
noaa_co2,rust,3,25,0.011545129
noaa_co2,rust,3,26,0.011541593
noaa_co2,rust,3,27,0.011575736
noaa_co2,rust,3,28,0.011551141
noaa_co2,rust,3,29,0.011576788
noaa_co2,rust,3,30,0.011543797
noaa_co2,rust,3,31,0.011525672
noaa_co2,rust,3,32,0.011540871
noaa_co2,rust,3,33,0.011548475
noaa_co2,rust,3,34,0.011547764
noaa_co2,rust,3,35,0.011557312
noaa_co2,rust,3,36,0.011533157
noaa_co2,rust,3,37,0.011589382
noaa_co2,rust,3,38,0.011538847
noaa_co2,rust,3,39,0.011562031
noaa_co2,rust,3,40,0.011532225
cern_dimuon,cpp,7,0,0.000780895
cern_dimuon,cpp,7,1,0.000765266
cern_dimuon,cpp,7,2,0.000775565
cern_dimuon,cpp,7,3,0.000779852
cern_dimuon,cpp,7,4,0.000776767
cern_dimuon,cpp,7,5,0.000761338
cern_dimuon,cpp,7,6,0.000776136
cern_dimuon,cpp,7,7,0.000775836
cern_dimuon,cpp,7,8,0.000774783
cern_dimuon,cpp,7,9,0.000764044
cern_dimuon,cpp,7,10,0.000775324
cern_dimuon,cpp,7,11,0.000777429
cern_dimuon,cpp,7,12,0.000775655
cern_dimuon,cpp,7,13,0.000776627
cern_dimuon,cpp,7,14,0.000764013
cern_dimuon,cpp,7,15,0.000780926
cern_dimuon,cpp,7,16,0.000778360
cern_dimuon,cpp,7,17,0.000779442
cern_dimuon,cpp,7,18,0.000762921
cern_dimuon,cpp,7,19,0.000776417
cern_dimuon,cpp,7,20,0.000778170
cern_dimuon,cpp,7,21,0.000774974
cern_dimuon,cpp,7,22,0.000777147
cern_dimuon,cpp,7,23,0.000762431
cern_dimuon,cpp,7,24,0.000775876
cern_dimuon,cpp,7,25,0.000777989
cern_dimuon,cpp,7,26,0.000776206
cern_dimuon,cpp,7,27,0.000762912
cern_dimuon,cpp,7,28,0.000782347
cern_dimuon,cpp,7,29,0.000776707
cern_dimuon,cpp,7,30,0.000778040
cern_dimuon,cpp,7,31,0.000778290
cern_dimuon,cpp,7,32,0.000762651
cern_dimuon,cpp,7,33,0.000776918
cern_dimuon,cpp,7,34,0.000777899
cern_dimuon,cpp,7,35,0.000774733
cern_dimuon,cpp,7,36,0.000762651
cern_dimuon,cpp,7,37,0.000783179
cern_dimuon,cpp,7,38,0.000777980
cern_dimuon,cpp,7,39,0.000774323
cern_dimuon,cpp,7,40,0.000761518
nist_strd,rust,4,0,0.058022799
nist_strd,rust,4,1,0.058455685
nist_strd,rust,4,2,0.058292893
nist_strd,rust,4,3,0.058144105
nist_strd,rust,4,4,0.058315154
nist_strd,rust,4,5,0.058214096
nist_strd,rust,4,6,0.058179101
nist_strd,rust,4,7,0.058068554
nist_strd,rust,4,8,0.058221759
nist_strd,rust,4,9,0.058050470
nist_strd,rust,4,10,0.058211671
nist_strd,rust,4,11,0.058038889
nist_strd,rust,4,12,0.058350470
nist_strd,rust,4,13,0.057962797
nist_strd,rust,4,14,0.057961204
nist_strd,rust,4,15,0.058050120
nist_strd,rust,4,16,0.058136591
nist_strd,rust,4,17,0.057872960
nist_strd,rust,4,18,0.057934495
nist_strd,rust,4,19,0.058320804
nist_strd,rust,4,20,0.058070788
nist_strd,rust,4,21,0.058058065
nist_strd,rust,4,22,0.058081499
nist_strd,rust,4,23,0.058113478
nist_strd,rust,4,24,0.058197444
nist_strd,rust,4,25,0.058056171
nist_strd,rust,4,26,0.058238611
nist_strd,rust,4,27,0.058306517
nist_strd,rust,4,28,0.058363413
nist_strd,rust,4,29,0.058468881
nist_strd,rust,4,30,0.058194349
nist_strd,rust,4,31,0.058056141
nist_strd,rust,4,32,0.058210849
nist_strd,rust,4,33,0.058285429
nist_strd,rust,4,34,0.058085596
nist_strd,rust,4,35,0.057994636
nist_strd,rust,4,36,0.058057975
nist_strd,rust,4,37,0.058062643
nist_strd,rust,4,38,0.058055951
nist_strd,rust,4,39,0.058052645
nist_strd,rust,4,40,0.058057765
nist_strd,rust,3,0,0.058090395
nist_strd,rust,3,1,0.057924125
nist_strd,rust,3,2,0.058103249
nist_strd,rust,3,3,0.058011308
nist_strd,rust,3,4,0.058135167
nist_strd,rust,3,5,0.058186623
nist_strd,rust,3,6,0.057965415
nist_strd,rust,3,7,0.058104753
nist_strd,rust,3,8,0.058044691
nist_strd,rust,3,9,0.058160255
nist_strd,rust,3,10,0.058091568
nist_strd,rust,3,11,0.058245782
nist_strd,rust,3,12,0.058271449
nist_strd,rust,3,13,0.058105804
nist_strd,rust,3,14,0.058330578
nist_strd,rust,3,15,0.058174070
nist_strd,rust,3,16,0.058037188
nist_strd,rust,3,17,0.058662519
nist_strd,rust,3,18,0.058221156
nist_strd,rust,3,19,0.057994048
nist_strd,rust,3,20,0.058015247
nist_strd,rust,3,21,0.058273082
nist_strd,rust,3,22,0.058397011
nist_strd,rust,3,23,0.058153412
nist_strd,rust,3,24,0.058236192
nist_strd,rust,3,25,0.058086448
nist_strd,rust,3,26,0.058103450
nist_strd,rust,3,27,0.057936909
nist_strd,rust,3,28,0.058714408
nist_strd,rust,3,29,0.057988455
nist_strd,rust,3,30,0.058156488
nist_strd,rust,3,31,0.058111585
nist_strd,rust,3,32,0.058130309
nist_strd,rust,3,33,0.058086858
